"type";"question";"saf_score";"nli_score";"sim_score";"respose_llm"
"grafo";"Tem limite de crianças por vez na brinquedoteca?";"0.68";"0.60";"0.00";"0.00";"{'resposta': ""O limite de crianças por vez na brinquedoteca é definido pela capacidade máxima do local, que é de 15 pessoas. Trecho-chave: 'A área tem capacidade máxima de 15 pessoas.'"", 'chunks': ['5511993891773_749_93'], 'trecho_chave': 'A área tem capacidade máxima de 15 pessoas.', 'percentual': ['100']}";"ollama"
"grafo";"Tem limite de crianças por vez na brinquedoteca?";"0.66";"0.67";"0.98";"0.81";"{'resposta': ""Não há regra específica sobre limite de crianças por vez na brinquedoteca. O uso é livre, desde que acompanhadas por responsável e respeitando a conservação do espaço. Trecho-chave: 'A utilização do espaço para recreação infantil e brinquedoteca é livre...'."", 'chunks': ['5511993891773_749_97'], 'trecho_chave': 'A utilização do espaço para recreação infantil e brinquedoteca é livre, ficando os CONDÔMINOS responsáveis pelas ações ou omissões atribuídas aos seus filhos, tutelados e convidados, ou a si mesmo, fatos estes que possam causar danos aos móveis e utensílios existentes em tais dependências.', 'percentual': ['100']}";"ollama"
"grafo";"Tem limite de crianças por vez na brinquedoteca?";"0.66";"0.67";"0.00";"0.00";"{'resposta': 'Não há limite específico de crianças na brinquedoteca; porém, a área tem capacidade máxima de 15 pessoas (regra 5511993891773_749_93) e só menores de 12 anos podem usar, sempre acompanhados (regra 5511993891773_749_98).', 'resposta_completa': 'O regulamento não fixa um número máximo de crianças para a brinquedoteca. Contudo, a regra 5511993891773_749_93 estabelece que a área comporta no máximo 15 pessoas, e a regra 5511993891773_749_98 determina que o uso é restrito a menores de até 12 anos, sempre acompanhados por responsável, garantindo segurança e ordem no espaço.', 'chunks': ['5511993891773_749_93', '5511993891773_749_98']}";"ollama"
"grafo";"Tem limite de crianças por vez na brinquedoteca?";"0.66";"0.83";"1.00";"0.83";"{'resposta': ""Não há regra específica sobre limite de crianças por vez na brinquedoteca. O uso é livre, mas sempre acompanhado de responsável. Trecho-chave: 'A utilização do espaço para recreação infantil e brinquedoteca é livre...'."", 'chunks': ['5511993891773_749_97'], 'trecho_chave': 'A utilização do espaço para recreação infantil e brinquedoteca é livre, ficando os CONDÔMINOS responsáveis pelas ações ou omissões atribuídas aos seus filhos, tutelados e convidados, ou a si mesmo, fatos estes que possam causar danos aos móveis e utensílios existentes em tais dependências.', 'percentual': ['100']}";"ollama"
"grafo";"Tem limite de crianças por vez na brinquedoteca?";"0.65";"0.96";"0.00";"0.00";"{'resposta': 'O regulamento não estipula limite numérico de crianças, definindo que a utilização do espaço para recreação infantil e brinquedoteca é livre, devendo apenas respeitar o horário de funcionamento das 08:00 às 00:00.', 'resposta_completa': 'Conforme o Artigo 144º do Regulamento Interno, a utilização do espaço para recreação infantil e brinquedoteca é livre, não havendo menção a uma capacidade máxima específica de ocupação, diferentemente de outras áreas comuns. O uso deve respeitar o horário das 08:00 às 00:00 (Art. 146º) e as normas de acompanhamento para menores.', 'chunks': ['5511993891773_749_97', '5511993891773_749_98']}";"ollama"
"grafo";"Tem limite de crianças por vez na brinquedoteca?";"0.66";"0.94";"0.00";"0.00";"{'resposta': 'Conforme id 5511993891773_749_93, a área da brinquedoteca tem capacidade máxima de 15 pessoas; não há norma que fixe número de crianças, apenas que menores de 12 anos devem estar acompanhados (id 5511993891773_749_98).', 'resposta_completa': 'A brinquedoteca não tem limite específico de crianças; aplica‑se a capacidade geral de 15 pessoas da área (regra id 5511993891773_749_93). O regulamento ainda exige que apenas menores de 12 anos utilizem o espaço e que estejam sempre acompanhados por um responsável (id 5511993891773_749_98). Assim, o número de crianças simultâneas deve respeitar o teto de 15 pessoas, observando a presença de responsável.', 'chunks': ['5511993891773_749_93', '5511993891773_749_98']}";"ollama"
"grafo";"Tem limite de crianças por vez na brinquedoteca?";"0.66";"0.84";"0.00";"0.00";"{'resposta': 'Não há menção específica a limite de crianças na brinquedoteca nas regras fornecidas. O regulamento estabelece que a utilização é livre, com responsabilidade dos condôminos por danos, e que crianças devem estar acompanhadas. Para capacidade máxima, consulte o síndico ou regulamento completo.', 'chunks': ['5511993891773_749_97', '5511993891773_749_98'], 'trecho_chave': 'A utilização do espaço para recreação infantil e brinquedoteca é livre, ficando os CONDÔMINOS responsáveis pelas ações ou omissões atribuídas aos seus filhos', 'percentual': ['60', '40']}";"ollama"
"grafo";"Tem limite de crianças por vez na brinquedoteca?";"0.66";"0.61";"0.00";"0.00";"{'resposta': 'A brinquedoteca segue a capacidade geral da área, que é de 15 pessoas por vez, cobrindo crianças e acompanhantes. Horário de funcionamento: 8:00 às 00:00 horas. Trecho-chave: “A área tem capacidade máxima de 15 pessoas.”', 'chunks': ['5511993891773_749_93'], 'trecho_chave': 'A área tem capacidade máxima de 15 pessoas.', 'percentual': ['100']}";"ollama"
"grafo";"Tem limite de crianças por vez na brinquedoteca?";"0.66";"0.75";"0.99";"0.76";"{'resposta': 'Não há limite específico de crianças na brinquedoteca; a regra fixa apenas que menores de 12 anos devem estar acompanhados de responsável, sem estabelecer capacidade máxima.', 'resposta_completa': 'O regulamento interno do condomínio não estabelece quantidade máxima de crianças simultâneas na brinquedoteca; determina apenas que menores de 12 anos devem estar acompanhados de responsável durante o uso do espaço.', 'chunks': ['5511993891773_749_97', '5511993891773_749_98']}";"ollama"
"grafo";"Tem limite de crianças por vez na brinquedoteca?";"0.65";"0.92";"0.00";"0.00";"{'resposta': 'Sim, há limite de 15 pessoas simultâneas na brinquedoteca, conforme regra de capacidade máxima. Menores de 12 anos só com responsável.', 'resposta_completa': 'Sim, a brinquedoteca tem capacidade máxima de 15 pessoas simultâneas, conforme regra 5511993891773_749_93. Além disso, menores de 12 anos só podem usar o espaço acompanhados de responsável.', 'chunks': ['5511993891773_749_93', '5511993891773_749_98']}";"ollama"
