"type";"question";"gold_answer";"llm_response";"complexity";"saf";"nli";"sim";"relevancy";"faithfulness";"model"
"grafo";"Sou obrigado a dar minha foto para entrar em um hospital ou clínica?";"Depende da finalidade. Se for para identificação de pacientes e acesso a áreas restritas (medicamentos controlados), a base legal é a ""tutela da saúde"" (Art. 11, II, ""f""). No entanto, se houver métodos alternativos menos invasivos (como cartão hospitalar + senha), a biometria pode ser questionável. A ambiguidade está em: o hospital pode recusar atendimento se você negar? Legalmente não, mas pode criar obstáculos operacionais.";"{'resposta': 'Não há obrigação legal de fornecer fotografia para acesso a hospitais ou clínicas. O tratamento de dados pessoais, inclusive fotografia, depende de consentimento do titular ou de base legal específica (LGPD, art. 7º). A exigência só é válida se justificada por finalidade legítima, informada e necessária, respeitando os princípios da finalidade, necessidade e transparência (art. 6º). O titular pode se recusar se a exigência for excessiva ou sem fundamento legal, podendo exigir esclarecimentos sobre o tratamento dos dados.', 'chunks': ['9c7da499', 'a57ec09b'], 'trecho_chave': 'limitação do tratamento ao mínimo necessário para a realização de suas finalidades', 'percentual': ['60', '40']}";"0.76";"0.78";"0.54";"0.49";"1.00";"1.00";"maritaca"
"grafo";"A empresa de telefonia pode vender a minha foto de cadastro?";"Não, a venda é proibida. Mas a ambiguidade está na ""anonymização"" - a empresa pode argumentar que vende ""dados estatísticos agregados"" que incluem imagens processadas por IA para análise de perfil demográfico. O Art. 7, § 4º permite tratamento para fins legítimos desde que não houver identificação do titular, mas a linha entre ""dados anonimizados"" e ""pseudonimizados"" é tênue.";"{'resposta': 'Não. A empresa de telefonia só pode tratar ou compartilhar foto de cadastro (dado pessoal sensível) se houver consentimento específico e destacado do titular para finalidade determinada, conforme art. 11, I, da LGPD. A venda ou uso comercial sem consentimento expresso é vedada e sujeita a sanções. O titular tem direito de saber com quem seus dados são compartilhados e pode exigir eliminação ou bloqueio, nos termos dos arts. 9º, 18 e 42 da LGPD.', 'chunks': ['b47f4387', 'f9e4ad69'], 'trecho_chave': 'quando o titular ou seu responsável legal consentir, de forma específica e destacada, para finalidades específicas', 'percentual': ['70', '30']}";"0.79";"0.83";"0.54";"0.52";"1.00";"1.00";"maritaca"
"grafo";"Fui demitido. A empresa tem que apagar minha foto e digital do relógio de ponto e da catraca?";"A LGPD não é clara sobre prazos. O Art. 46 permite retenção para ""cumprimento de obrigação legal ou regulatória"" - o MTE exige arquivos de empregados por 5 anos após a rescisão. Mas e a digital biométrica? A empresa pode argumentar que precisa mantê-la por esse período ""para fins de auditoria"", mas a ANPD recomenda anonimização após o término da relação jurídica. A ambiguidade: por quanto tempo exatamente?";"{'resposta': 'Sim, a empresa deve eliminar os dados biométricos e fotográficos do ex-funcionário dos sistemas de controle de acesso, relógio de ponto e catraca após a rescisão do vínculo empregatício, conforme a LGPD. O art. 16 da LGPD determina a eliminação dos dados pessoais tratados com consentimento quando a finalidade que justificou o tratamento deixa de existir, salvo hipóteses legais específicas, que não se aplicam ao caso de controle de acesso de ex-colaborador. O controlador tem obrigação de promover a exclusão definitiva dos dados, garantindo privacidade e proteção de dados do titular.', 'chunks': ['f9e4ad69', '5cf8dbf1'], 'trecho_chave': 'Obrigação do controlador de eliminar dados pessoais tratados com consentimento do titular, exceto nas hipóteses previstas no art. 16', 'percentual': ['70', '30']}";"0.85";"0.80";"0.54";"0.66";"1.00";"1.00";"maritaca"
"grafo";"Posso recusar o reconhecimento facial no condomínio onde moro?";"É ambíguo. Se o sistema foi aprovado em assembleia, o condomínio pode argumentar ""legítimo interesse coletivo de segurança"". Porém, como biometria é dado sensível, o Art. 11 exige consentimento ou outra base legal específica. O condomínio deve oferecer alternativa (cartão, senha), mas pode cobrar taxa extra por ""sistema alternativo de acesso""? A lei não proíbe explicitamente.";"{'resposta': 'Sim, o morador pode recusar o reconhecimento facial no condomínio, pois o tratamento de dados biométricos depende de consentimento específico e destacado do titular, conforme o art. 11, I, da LGPD. O condomínio deve informar as consequências da recusa e oferecer alternativas de acesso, pois ninguém pode ser obrigado a fornecer dado pessoal sensível sem consentimento livre, informado e inequívoco. O art. 18, VIII, da LGPD assegura ao titular o direito de ser informado sobre a possibilidade de não consentir e sobre as consequências da negativa.', 'chunks': ['b47f4387', 'f9e4ad69'], 'trecho_chave': 'quando o titular ou seu responsável legal consentir, de forma específica e destacada, para finalidades específicas', 'percentual': ['60', '40']}";"0.91";"0.91";"0.69";"0.66";"1.00";"1.00";"maritaca"
"grafo";"Minha escola pode exigir biometria dos meus filhos para entra na escola?";"Para menores, é necessário consentimento específico de um dos pais (Art. 14). Mas há uma brecha: se a escola argumentar ""interesse vital da criança"" (controle de alergias alimentares), pode se enquadrar no Art. 11, II ""f"". A ambiguidade: até que ponto a conveniência operacional da escola sobrepõe-se à privacidade do menor?";"{'resposta': 'A escola pode exigir biometria para controle de acesso, mas precisa de consentimento específico e destacado dos responsáveis, pois dados biométricos são sensíveis (art. 5º, II, LGPD). O tratamento deve ser transparente, limitado à finalidade de segurança, com informações claras sobre uso, duração e proteção dos dados, conforme princípios da LGPD (art. 6º e art. 9º). O titular tem direito de acesso, correção e eliminação dos dados, e a escola deve garantir medidas de segurança adequadas.', 'chunks': ['e9106279', '9c7da499', 'ffc54078'], 'trecho_chave': 'dado genético ou biométrico, quando vinculado a uma pessoa natural', 'percentual': ['40', '30', '30']}";"0.84";"0.71";"0.55";"0.57";"1.00";"1.00";"maritaca"
"grafo";"Posso exigir que uma empresa apague minha biometria coletada antes da LGPD entrar em vigor?";"A LGPD não tem efeito retroativo (Art. 58), mas dados coletados antes de agosto/2020 ainda estão sendo tratados. A ambiguidade: a empresa precisa obter novo consentimento para continuar tratando dados antigos? A ANPD sugere ""adequação retroativa"", mas não há obrigatoriedade clara de reconsentimento.";"{'resposta': 'Sim, o titular pode solicitar a eliminação de seus dados biométricos, mesmo coletados antes da vigência da LGPD, pois a lei assegura o direito de eliminação de dados tratados com consentimento, salvo exceções do art. 16. O controlador deve atender à requisição formal do titular, conforme art. 18, VI, da LGPD, que prevê a eliminação de dados pessoais tratados com consentimento, independentemente do momento da coleta, desde que não haja fundamento legal para sua manutenção.', 'chunks': ['f9e4ad69', 'e9106279'], 'trecho_chave': 'eliminação dos dados pessoais tratados com o consentimento do titular, exceto nas hipóteses previstas no art. 16 desta Lei', 'percentual': ['70', '30']}";"0.72";"0.87";"0.55";"0.43";"1.00";"1.00";"maritaca"
"grafo";"Minha empresa usa biometria para controle de ponto. Posso exigir método alternativo por questões religiosas?";"O Art. 11 permite tratamento de dados sensíveis para ""prevenção à fraude"", mas a Constituição protege a liberdade religiosa (Art. 5º, VI). Se a biometria (impressão digital) é considerada ""marca do anticristo"" por algumas religiões, qual prevalece? A jurisprudência ainda é incipiente no Brasil.";"{'resposta': 'Sim, o colaborador pode requerer método alternativo de controle de ponto por convicção religiosa, pois a biometria é dado pessoal sensível (art. 5º, II, LGPD) e o tratamento deve respeitar direitos fundamentais, liberdade religiosa e privacidade. O empregador deve avaliar alternativas proporcionais, garantindo o registro de jornada sem violar direitos do titular, conforme princípios da LGPD e Constituição Federal (art. 5º, VI e VIII). A recusa injustificada pode configurar discriminação ou violação de direitos fundamentais, sujeita a sanções administrativas e judiciais.', 'chunks': ['e9106279', '4d9abb51'], 'trecho_chave': 'dado pessoal sensível: dado pessoal sobre origem racial ou étnica, convicção religiosa, opinião política...', 'percentual': ['70', '30']}";"0.78";"0.69";"0.54";"0.58";"1.00";"1.00";"maritaca"
"grafo";"O salão de beleza pode exigir minha foto antes e depois do procedimento estético?";"A empresa pode argumentar ""legítimo interesse"" para documentação médica/prova de resultado. Mas a ambiguidade: a foto pode ser usada em redes sociais do salão sem consentimento específico? O Art. 7º, IV permite tratamento para exercício de direitos, mas o Art. 5º, II inclui ""imagem"" como dado sensível quando vinculada a dados pessoais.";"{'resposta': 'O salão de beleza só pode exigir fotos antes e depois do procedimento se houver consentimento livre, informado e específico do cliente, conforme o art. 7º, I, da LGPD. O consentimento deve ser destacado e indicar a finalidade (registro, publicidade ou comprovação). Sem consentimento, a coleta é ilegal, pois envolve dados pessoais e sensíveis (imagem facial). O cliente pode negar e o salão não pode condicionar o serviço à coleta, salvo obrigação legal inexistente nesse caso. O titular pode solicitar eliminação posteriormente.', 'chunks': ['a57ec09b', 'd157f57f'], 'trecho_chave': 'mediante o fornecimento de consentimento pelo titular', 'percentual': ['70', '30']}";"0.90";"0.81";"0.55";"0.73";"1.00";"1.00";"maritaca"
"grafo";"Posso me recusar a fornecer biometria em um concurso público?";"O Art. 7º, II permite tratamento para ""execução de políticas públicas"", mas a biometria é dado sensível. Se o concurso é para cargo comum (não envolvendo segurança nacional), é proporcional? A administração pública pode argumentar ""prevenção à fraude"", mas o candidato pode alegar excesso.";"{'resposta': 'Sim, é possível recusar o fornecimento de biometria em concurso público, pois o tratamento de dados pessoais sensíveis exige consentimento específico e destacado do titular, conforme o art. 11, I, da LGPD. A administração só pode exigir sem consentimento se houver obrigação legal ou finalidade de prevenção à fraude e segurança, mas deve resguardar direitos fundamentais do candidato. A recusa fundamentada pode ser exercida com base no direito à privacidade e à proteção de dados pessoais sensíveis, desde que não haja previsão legal expressa que obrigue o fornecimento.', 'chunks': ['b47f4387', '4d9abb51'], 'trecho_chave': 'tratamento de dados pessoais sensíveis somente poderá ocorrer quando o titular consentir, de forma específica e destacada, para finalidades específicas', 'percentual': ['70', '30']}";"0.73";"0.85";"0.02";"0.56";"1.00";"1.00";"maritaca"
"grafo";"A academia pode exigir biometria para liberação de catraca?";"O contrato de adesão pode incluir essa cláusula, mas a LGPD prevalece sobre contratos (Art. 7º, § 3º). A academia precisa demonstrar ""necessidade"" - existe alternativa menos invasiva? Se sim, a exigência pode ser considerada abusiva.";"{'resposta': 'A exigência de biometria para acesso à academia do condomínio é possível, desde que haja consentimento específico e destacado do titular, conforme a LGPD, pois se trata de dado pessoal sensível. O tratamento deve ser justificado por finalidade específica, com transparência, segurança e respeito à privacidade. O condomínio ou responsável deve informar claramente os motivos, garantir medidas de proteção e permitir alternativas ao usuário que não deseje fornecer biometria, respeitando o direito de não consentir e suas consequências. Trecho-chave: “tratamento de dados pessoais sensíveis mediante consentimento específico e destacado para finalidades específicas” (b47f4387).', 'chunks': ['b47f4387', 'a57ec09b'], 'trecho_chave': 'tratamento de dados pessoais sensíveis mediante consentimento específico e destacado para finalidades específicas', 'percentual': ['60', '40']}";"0.80";"0.70";"0.58";"0.51";"1.00";"1.00";"maritaca"
